NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED
,,CTTROT20210316POL-C,,,,,,,,3040002,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040031,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040079,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040080,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040081,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040082,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040083,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040084,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040086,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040087,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040088,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040089,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040090,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040092,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040096,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040105,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040106,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040107,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040108,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040109,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040110,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040179,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040180,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040183,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040196,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040198,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040254,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040255,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040256,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040257,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040258,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040259,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040377,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040585,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040586,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040922,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040923,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040924,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3040925,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3041426,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3041427,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,,,3041428,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040254,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 164938 8,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040255,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 165639 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040256,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 166110 4,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040257,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 158622 7,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040258,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 158601 6,,57,11,0
,,CTTROT20210316POL-C,,,,,,0,45PW,3040259,,2.25,,,,,367592,,lader,CTTROT,,4400,TLLU 158603 7,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,22TK,3040108,,1.1,,,,,367592,,lader,CTTROT,,4800,TKCU 135014 4,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,22TK,3040922,,1.1,,,,,367592,,lader,CTTROT,,4800,MCMU 735087 6,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,22TK,3040923,,1.1,,,,,367592,,lader,CTTROT,,4800,HILU 331015 7,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,23TK,3040109,,1.15,,,,,367592,,lader,CTTROT,,4800,MCMU 735056 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,23TK,3040110,,1.15,,,,,367592,,lader,CTTROT,,4800,MEBU 330049 7,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,23TK,3040924,,1.15,,,,,367592,,lader,CTTROT,,4800,MCMU 735068 6,,57,11,0
,,CTTROT20210316POL-C,,,,,,1,23TK,3040925,,1.15,,,,,367592,,lader,CTTROT,,4800,MEBU 331067 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,2964,45PW,3040106,,2.25,,,,,367592,,lader,CTTROT,,4400,CNEU 453016 9,,57,11,0
,,CTTROT20210316POL-C,,,,,,3354,45PW,3040105,,2.25,,,,,367592,,lader,CTTROT,,4400,SANU 751713 9,,57,11,0
,,CTTROT20210316POL-C,,,,,,4352,45PW,3040107,,2.25,,,,,367592,,lader,CTTROT,,4400,SANU 799934 4,,57,11,0
,,CTTROT20210316POL-C,,,,,,5073,20DV,3040080,,1,,,,,367592,,lader,CTTROT,,2300,CPWU 229894 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,7549,40HC,3040089,,2,,,,,367592,,lader,CTTROT,,4200,CMAU 909627 1,,57,11,0
,,CTTROT20210316POL-C,,,,,,9513,40HC,3040090,,2,,,,,367592,,lader,CTTROT,,4200,GESU 695206 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,9864,40HC,3040586,,2,,,,,367592,,lader,CTTROT,,4200,CMAU 826520 6,,57,11,0
,,CTTROT20210316POL-C,,,,,,10000,20TK,3041427,,1,,,,,367592,,lader,CTTROT,,4000,DHIU 053205 8,,57,11,0
,,CTTROT20210316POL-C,,,,,,12555,40HC,3040096,,2,,,,,367592,,lader,CTTROT,,4200,CSFU 967769 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,14002,40HC,3040585,,2,,,,,367592,,lader,CTTROT,,4200,GLDU 762731 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,20531,40HC,3040092,,2,,,,,367592,,lader,CTTROT,,4200,SEGU 573325 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,23460,20TK,3041428,,1,,,,,367592,,lader,CTTROT,,4000,TCVU 361832 5,,57,11,0
,,CTTROT20210316POL-C,,,,,,23860,20TK,3041426,,1,,,,,367592,,lader,CTTROT,,4000,BTTU 224149 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,24000,20TK,3040180,,1,,,,,367592,,lader,CTTROT,,4000,PCVU 260136 6,,57,11,0
,,CTTROT20210316POL-C,,,,,,24108,20DV,3040179,,1,,,,,367592,,lader,CTTROT,,2300,MEDU 220821 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,24120,26TK,3040087,,1.3,,,,,367592,,lader,CTTROT,,4800,TWSU 971059 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,25000,20TK,3040002,,1,,,,,367592,,lader,CTTROT,,4000,BGBU 080494 3,,57,11,0
,,CTTROT20210316POL-C,,,,,,25000,20TK,3040079,,1,,,,,367592,,lader,CTTROT,,4000,DHIU 114243 4,,57,11,0
,,CTTROT20210316POL-C,,,,,,25040,22TK,3040377,,1.1,,,,,367592,,lader,CTTROT,,4800,RCLU 131060 3,,57,11,0
,,CTTROT20210316POL-C,,,,,,25980,22TK,3040196,,1.1,,,,,367592,,lader,CTTROT,,4800,GCAU 777634 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,25980,26TK,3040086,,1.3,,,,,367592,,lader,CTTROT,,4800,EXFU 878937 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,26000,23TK,3040198,,1.15,,,,,367592,,lader,CTTROT,,4800,GCAU 793007 5,,57,11,0
,,CTTROT20210316POL-C,,,,,,26000,26TK,3040088,,1.3,,,,,367592,,lader,CTTROT,,4800,MCMU 635032 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,27000,20TK,3040031,,1,,,,,367592,,lader,CTTROT,,4000,PCVU 288038 4,,57,11,0
,,CTTROT20210316POL-C,,,,,,27800,22TK,3040082,,1.1,,,,,367592,,lader,CTTROT,,4800,PAWU 310008 0,,57,11,0
,,CTTROT20210316POL-C,,,,,,28000,20TK,3040081,,1,,,,,367592,,lader,CTTROT,,4000,BIDU 492892 2,,57,11,0
,,CTTROT20210316POL-C,,,,,,28000,22TK,3040083,,1.1,,,,,367592,,lader,CTTROT,,4800,PAWU 310006 9,,57,11,0
,,CTTROT20210316POL-C,,,,,,28000,22TK,3040084,,1.1,,,,,367592,,lader,CTTROT,,4800,PAWU 310009 5,,57,11,0
,,CTTROT20210316POL-C,,,,,,28038,20TK,3040183,,1,,,,,367592,,lader,CTTROT,,4000,BIDU 497503 5,,57,11,0
,,CTTROT20210316POL-C,SGGMRS,2,33544975497-7,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,Sggmrss,3,33544975513-1,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,SGGNS,16,33884961055-9,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,SGGRS,9,33884961517-8,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,SGGRSS,1,33544975512-3,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,SGMMNS,10,33684558413-3,,,,,,,,,,,,367592,,,,,,,,57,11,0
,,CTTROT20210316POL-C,SGNS,8,37804558980-1,,,,,,,,,,,,367592,,,,,,,,57,11,0
4,,CTTROT20210316POL-C,SGNS,7,37804557351-6,,,,,,,,,20000,60,,367592,60000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,5,37804556674-2,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,11,37804556642-9,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,12,31804557061-7,,,,,,,,,20000,60,,367592,72000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,13,33684556902-7,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,20,31804557045-0,,,,,,,,,20000,60,,367592,72000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,Sgns60,22,33684556908-4,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,SGNSS,23,31804557843-8,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,,CTTROT20210316POL-C,SGNSS,24,37804557177-5,,,,,,,,,20000,60,,367592,70000,,,19.63999939,,,,57,11,0
4,3,CTTROT20210316POL-C,SGNSS,4,37804556180-0,,,,,,,,,20000,60,,367592,72000,,,20,,,,57,11,0
6,,CTTROT20210316POL-C,SGGMRS,6,37804953046-2,,,,,,,,,29000,90,,367592,94000,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,14,33884962416-2,,,,,,,,,26940,90,,367592,107600,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,15,33884961166-4,,,,,,,,,27240,90,,367592,107700,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,17,33884962434-5,,,,,,,,,26920,90,,367592,107600,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,18,33884961176-3,,,,,,,,,27260,90,,367592,107700,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,19,33884961423-9,,,,,,,,,27260,90,,367592,107700,,,29.59000015,,,,57,11,0
6,,CTTROT20210316POL-C,Sggmrss,21,33884961383-5,,,,,,,,,27300,90,,367592,108000,,,29.59000015,,,,57,11,0
