Container;Type;Position;Nett;F/E
HLXU 815778 6;40HC;;7.155;F
MSKU 408451 4;20DV;OCC (CTTROT);4.548;F
FFAU 138775 1;40HC;;9.612;F
BEAU 249307 4;20DV;10.02.1 (CTTROT);5.155;F
YMLU 348868 0;20DV;10.02.2 (CTTROT);3.855;F
TRHU 533742 0;40HC;13.04.1 (CTTROT);2.595;F
GCXU 215926 8;20DV;;17.685;F
CCLU 713115 4;40HC;13.04.2 (CTTROT);13.979;F
UACU 551371 8;40HC;13.04.3 (CTTROT);17.211;F
TGBU 963966 2;40HC;;5.035;F
NYKU 975322 0;20DV;;23.664;F
TCKU 138104 7;20DV;;20.350;F
UETU 415280 5;40DV;31.03.1 (CTTROT);2.532;F
FFAU 149331 0;40HC;31.03.2 (CTTROT);4.772;F
OOCU 698499 5;40HC;31.03.3 (CTTROT);2.088;F
CAIU 917070 9;40HC;33.03.3 (CTTROT);3.994;F
MRSU 383089 9;40HC;41.03.1 (CTTROT);2.699;F
HLBU 115014 4;40HC;41.03.2 (CTTROT);3.725;F
TCNU 720694 0;40HC;;3.250;F
UACU 405852 2;20DV;36.05.3 (CTTROT);1.821;F
TCKU 321501 9;20DV;;20.350;F
MSKU 847449 1;40HC;BURGERHEK (CTTROT);22.610;F
MSKU 776835 7;20DV;OCC (CTTROT);7.391;F
CNIU 117989 9;20DV;OCC (CTTROT);9.112;F
FSCU 476746 9;40DV;47.06.1 (CTTROT);5.256;F
TRHU 237143 7;20DV;OCC (CTTROT);20.720;F
MRKU 983100 9;20DV;OCC (CTTROT);4.550;F
CSNU 715895 5;40HC;47.06.2 (CTTROT);13.206;F
MSKU 742568 2;20DV;OCC (CTTROT);4.069;F
DFSU 247423 4;20DV;OCC (CTTROT);20.128;F
TCLU 494569 9;40HC;;2.806;F
NYKU 970314 8;20DV;12.05.3 (CTTROT);5.747;F
GLDU 967447 9;20DV;15.03.1 (CTTROT);19.200;F
UACU 857311 4;40DV;15.04.1 (CTTROT);6.993;F
HAMU 108696 0;20DV;16.05.2 (CTTROT);7.660;F
TRHU 356039 5;20DV;17.01.3 (CTTROT);19.128;F
TGHU 935253 0;40HC;19.02.1 (CTTROT);10.203;F
UACU 821335 5;40DV;19.02.2 (CTTROT);5.100;F
SEGU 695640 9;40HC;19.03.1 (CTTROT);6.560;F
TRHU 174317 0;20DV;;15.323;F
HLXU 324819 0;20DV;;7.261;F
CCLU 790581 5;40HC;29.04.1 (CTTROT);2.616;F
BIDU 490345 7;20TK;27.05.1 (CTTROT);26.000;F
TEMU 061778 6;20DV;;23.664;F
TCNU 832945 1;40HC;33.04.3 (CTTROT);4.310;F
MRSU 377148 2;40HC;39.04.3 (CTTROT);7.296;F
FFAU 174063 7;40HC;OCC (CTTROT);22.000;F
BMOU 531134 7;40HC;;14.078;F
FSCU 854872 5;40HC;47.06.3 (CTTROT);5.517;F
MEDU 587709 0;20DV;OCC (CTTROT);5.654;F
MSKU 562296 0;20DV;OCC (CTTROT);6.088;F
TCLU 486163 8;40HC;49.05.1 (CTTROT);13.889;F
MSKU 598354 0;20DV;OCC (CTTROT);10.304;F
UACU 845833 7;40DV;49.06.1 (CTTROT);9.065;F
GLDU 943716 3;20DV;;16.990;F
FFAU 143785 2;40HC;49.06.2 (CTTROT);14.610;F
HLBU 295906 7;20DV;52.11.1 (CTTROT);3.492;F