NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS
,,CTTROT20210216POL,,,,,,0,20DV,2958688,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 321509 6,
,,CTTROT20210216POL,,,,,,0,20DV,2961286,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 314169 2,
,,CTTROT20210216POL,,,,,,0,20DV,2961288,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 317044 8,
,,CTTROT20210216POL,,,,,,0,20DV,2961290,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 331264 5,
,,CTTROT20210216POL,,,,,,0,20DV,2961292,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 331851 4,
,,CTTROT20210216POL,,,,,,0,20DV,2961298,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 303801 0,
,,CTTROT20210216POL,,,,,,0,20DV,2961299,,1,,,,,366418,,lader,CTTROT,,2300,TKRU 313126 7,
,,CTTROT20210216POL,,,,,,0,26TK,2958994,,1.3,,,,,366418,,lader,CTTROT,,4800,MCMU 735118 9,
,,CTTROT20210216POL,,,,,,0,26TK,2958995,,1.3,,,,,366418,,lader,CTTROT,,4800,TWSU 971323 8,
,,CTTROT20210216POL,,,,,,0,26TK,2960526,,1.3,,,,,366418,,lader,CTTROT,,4800,GMCU 238079 0,
,,CTTROT20210216POL,,,,,,0,45OS,2960403,,2.25,,,,,366418,,lader,CTTROT,,4500,NFLU 203537 0,
,,CTTROT20210216POL,,,,,,0,45OS,2961279,,2.25,,,,,366418,,lader,CTTROT,,4500,NFLU 203462 5,
,,CTTROT20210216POL,,,,,,0,45PW,2961294,,2.25,,,,,366418,,lader,CTTROT,,4400,TCLU 481269 6,
,,CTTROT20210216POL,,,,,,0,45PW,2961296,,2.25,,,,,366418,,lader,CTTROT,,4400,TCLU 483870 4,
,,CTTROT20210216POL,,,,,,3088,45PW,2958685,,2.25,,,,,366418,,lader,CTTROT,,4400,CLDU 970371 6,
,,CTTROT20210216POL,,,,,,4118,45PW,2958978,,2.25,,,,,366418,,lader,CTTROT,,4400,CLDU 961735 1,
,,CTTROT20210216POL,,,,,,4260,45PW,2958974,,2.25,,,,,366418,,lader,CTTROT,,4400,CLDU 970465 1,
,,CTTROT20210216POL,,,,,,12811,40HC,2958676,,2,,,,,366418,,lader,CTTROT,,4200,CMAU 825245 1,
,,CTTROT20210216POL,,,,,,19000,40HC,2958970,,2,0,,,,366418,,lader,CTTROT,,4200,HMCU 904434 0,BURGERHEK
,,CTTROT20210216POL,,,,,,19000,45OS,2958981,,2.25,,,,,366418,,lader,CTTROT,,4500,NFLU 203458 5,
,,CTTROT20210216POL,,,,,,21140,20TK,2958662,,1,0,,,,366418,,lader,CTTROT,,4000,ABEU 260711 5,50.09.2
,,CTTROT20210216POL,,,,,,22000,45PW,2958987,,2.25,,,,,366418,,lader,CTTROT,,4400,TLLU 158811 1,
,,CTTROT20210216POL,,,,,,23000,26TK,2958906,,1.3,,,,,366418,,lader,CTTROT,,4800,NWBU 103506 7,
,,CTTROT20210216POL,,,,,,23120,26TK,2959215,,1.3,,,,,366418,,lader,CTTROT,,4800,PCVU 350020 0,
,,CTTROT20210216POL,,,,,,23400,20DV,2961297,,1,,,,,366418,,lader,CTTROT,,2300,TCKU 345040 3,
,,CTTROT20210216POL,,,,,,23600,20TK,2958663,,1,,,,,366418,,lader,CTTROT,,4000,ABEU 263315 6,
,,CTTROT20210216POL,,,,,,23886,45OS,2958984,,2.25,,,,,366418,,lader,CTTROT,,4500,LYSU 546249 1,
,,CTTROT20210216POL,,,,,,23886,45OS,2961417,,2.25,,,,,366418,,lader,CTTROT,,4500,LYSU 545712 9,
,,CTTROT20210216POL,,,,,,23960,20TK,2958661,,1,,,,,366418,,lader,CTTROT,,4000,ABEU 252405 2,
,,CTTROT20210216POL,,,,,,24000,20TK,2958646,,1,0,,,,366418,,lader,CTTROT,,4000,ILBU 261007 6,45.10.2
,,CTTROT20210216POL,,,,,,24000,20TK,2960356,,1,,,,,366418,,lader,CTTROT,,4000,MEBU 126421 4,
,,CTTROT20210216POL,,,,,,24000,26TK,2958921,,1.3,0,,,,366418,,lader,CTTROT,,4800,NWBU 103521 5,47.14.1
,,CTTROT20210216POL,,,,,,24020,20TK,2961284,,1,,,,,366418,,lader,CTTROT,,4000,NWBU 010529 9,
,,CTTROT20210216POL,,,,,,24090,20TK,2958660,,1,,,,,366418,,lader,CTTROT,,4000,BTLU 269021 2,
,,CTTROT20210216POL,,,,,,24120,20TK,2959223,,1,,,,,366418,,lader,CTTROT,,4000,GCAU 795043 0,
,,CTTROT20210216POL,,,,,,24180,20TK,2960470,,1,,,,,366418,,lader,CTTROT,,4000,BTTU 223108 5,
,,CTTROT20210216POL,,,,,,24436,45PW,2958687,,2.25,,,,,366418,,lader,CTTROT,,4400,CLDU 962913 6,
,,CTTROT20210216POL,,,,,,24880,20TK,2960333,,1,0,,,,366418,,lader,CTTROT,,4000,NWBU 082664 9,37.10.3
,,CTTROT20210216POL,,,,,,25000,20TK,2958647,,1,,,,,366418,,lader,CTTROT,,4000,PCVU 260064 7,
,,CTTROT20210216POL,,,,,,25240,26TK,2958942,,1.3,,,,,366418,,lader,CTTROT,,4800,MCMU 635042 3,
,,CTTROT20210216POL,,,,,,25280,20TK,2959212,,1,0,,,,366418,,lader,CTTROT,,4000,PCVU 288022 9,35.10.1
,,CTTROT20210216POL,,,,,,25500,20TK,2959474,,1,,,,,366418,,lader,CTTROT,,4000,DHDU 208805 2,
,,CTTROT20210216POL,,,,,,25860,20DV,2959467,,1,,,,,366418,,lader,CTTROT,,2300,TCLU 226328 3,
,,CTTROT20210216POL,,,,,,25960,20DV,2959464,,1,,,,,366418,,lader,CTTROT,,2300,CAIU 210709 4,
,,CTTROT20210216POL,,,,,,26000,26TK,2958669,,1.3,,,,,366418,,lader,CTTROT,,4800,BTLU 330029 0,
,,CTTROT20210216POL,,,,,,26020,20DV,2959466,,1,,,,,366418,,lader,CTTROT,,2300,CAXU 696573 0,
,,CTTROT20210216POL,,,,,,26030,30TK,2958912,,1.5,0,,,,366418,,lader,CTTROT,,2800,NWBU 050535 6,21.08.1
,,CTTROT20210216POL,,,,,,26080,20DV,2959462,,1,,,,,366418,,lader,CTTROT,,2300,TCKU 133127 8,
,,CTTROT20210216POL,,,,,,26320,20DV,2958658,,1,28730,,,,366418,,lader,CTTROT,,2300,TCKU 305135 8,21.01.1
,,CTTROT20210216POL,,,,,,26760,26TK,2958668,,1.3,,,,,366418,,lader,CTTROT,,4800,PCVU 935011 2,
,,CTTROT20210216POL,,,,,,26950,26TK,2958667,,1.3,,,,,366418,,lader,CTTROT,,4800,TANU 351116 0,
,,CTTROT20210216POL,,,,,,26970,26TK,2960345,,1.3,,,,,366418,,lader,CTTROT,,4800,ZTKU 735013 0,
,,CTTROT20210216POL,,,,,,27000,20TK,2959472,,1,,,,,366418,,lader,CTTROT,,4000,PCVU 288025 5,
,,CTTROT20210216POL,,,,,,27000,26TK,2961493,,1.3,0,,,,366418,,lader,CTTROT,,4800,PCCU 352603 9,49.14.2
,,CTTROT20210216POL,,,,,,27050,26TK,2959099,,1.3,,,,,366418,,lader,CTTROT,,4800,PCVU 935014 9,
,,CTTROT20210216POL,,,,,,27620,20TK,2958666,,1,,,,,366418,,lader,CTTROT,,4000,KRIU 226037 7,
,,CTTROT20210216POL,,,,,,28000,26TK,2958943,,1.3,,,,,366418,,lader,CTTROT,,4800,PCTU 351008 5,
,,CTTROT20210216POL,,,,,,28000,26TK,2961651,,1.3,,,,,366418,,lader,CTTROT,,4800,COUU 810204 9,
,,CTTROT20210216POL,,,,,,28720,20TK,2958664,,1,,,,,366418,,lader,CTTROT,,4000,ABEU 262887 0,
,,CTTROT20210216POL,SGGMRS,10,37804963033-8,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGGMRS,19,37804963032-0,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGGMRS,20,37804963035-3,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGGNS,4,37804952554-6,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGNS,25,37804558982-7,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGNSS,5,33684558702-9,,,,,,,,,,,,366418,,,,,,,
,,CTTROT20210216POL,SGNSS,15,37804556181-8,,,,,,,,,,,,366418,,,,,,,
4,,CTTROT20210216POL,Sgns60,1,37804556544-7,,,,,,,,,20000,60,,366418,70000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,3,31804557008-8,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,6,31804557021-1,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,8,33684556915-9,,,,,,,,,20000,60,,366418,70000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,9,33684556912-6,,,,,,,,,20000,60,,366418,70000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,11,31804557042-7,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,12,31804557059-1,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,16,37804557797-0,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,Sgns60,21,31804557039-3,,,,,,,,,20000,60,,366418,72000,,,19.639999389648438,,,
4,,CTTROT20210216POL,SGNSS,13,33684556890-4,,,,,,,,,22000,60,,366418,72000,,,19.899999618530273,,,
4,,CTTROT20210216POL,SGNSS,22,37804557179-1,,,,,,,,,20000,60,,366418,70000,,,19.639999389648438,,,
6,,CTTROT20210216POL,SGGMRS,23,33684953049-6,,,,,,,,,29000,90,,366418,100000,,,29.590000152587891,,,
6,,CTTROT20210216POL,SGGMRS,24,37804952303-8,,,,,,,,,29000,90,,366418,94000,,,29.590000152587891,,,
6,,CTTROT20210216POL,Sggmrss,2,33884962390-9,,,,,,,,,26940,90,,366418,108000,,,29.590000152587891,,,
6,,CTTROT20210216POL,Sggmrss,7,33884961594-7,,,,,,,,,27580,90,,366418,107600,,,29.590000152587891,,,
6,,CTTROT20210216POL,Sggmrss,17,33884961049-2,,,,,,,,,27260,90,,366418,107600,,,29.590000152587891,,,
6,,CTTROT20210216POL,Sggmrss,18,33884961020-3,,,,,,,,,26940,90,,366418,108000,,,29.590000152587891,,,
6,,CTTROT20210216POL,SGGRS,14,33544950041-2,,,,,,,,,28000,80,,366418,92000,,,26.700000762939453,,,
